Nr,KeggModule,KeggModuleNR,KeggModuleName,CategoryGlobal,Category,KeggModuleOrder
1,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00001: Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,"M00001: Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,1
2,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00002: Glycolysis, core module involving three-carbon compounds",M00002,"M00002: Glycolysis, core module involving three-carbon compounds",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,2
3,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00003: Gluconeogenesis, oxaloacetate => fructose-6P",M00003,"M00003: Gluconeogenesis, oxaloacetate => fructose-6P",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,3
4,Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00004: Pentose phosphate pathway (Pentose phosphate cycle),M00004,M00004: Pentose phosphate pathway (Pentose phosphate cycle),Carbohydrate and lipid metabolism,Central carbohydrate metabolism,4
5,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00005: PRPP biosynthesis, ribose 5P => PRPP",M00005,"M00005: PRPP biosynthesis, ribose 5P => PRPP",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,5
6,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00006: Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",M00006,"M00006: Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,6
7,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00007: Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",M00007,"M00007: Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,7
8,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",M00008,"M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,8
9,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00009: Citrate cycle (TCA cycle, Krebs cycle)",M00009,"M00009: Citrate cycle (TCA cycle, Krebs cycle)",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,9
10,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",M00010,"M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,10
11,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",M00011,"M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,11
12,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00012: Glyoxylate cycle,M00012,M00012: Glyoxylate cycle,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,12
13,"Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00013: Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",M00013,"M00013: Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",Carbohydrate and lipid metabolism,Other carbohydrate metabolism,13
14,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00014: Glucuronate pathway (uronate pathway),M00014,M00014: Glucuronate pathway (uronate pathway),Carbohydrate and lipid metabolism,Other carbohydrate metabolism,14
15,"Nucleotide and amino acid metabolism - Arginine and proline metabolism - M00015: Proline biosynthesis, glutamate => proline",M00015,"M00015: Proline biosynthesis, glutamate => proline",Nucleotide and amino acid metabolism,Arginine and proline metabolism,15
16,"Nucleotide and amino acid metabolism - Lysine metabolism - M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",M00016,"M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",Nucleotide and amino acid metabolism,Lysine metabolism,16
17,"Nucleotide and amino acid metabolism - Cysteine and methionine metabolism - M00017: Methionine biosynthesis, apartate => homoserine => methionine",M00017,"M00017: Methionine biosynthesis, apartate => homoserine => methionine",Nucleotide and amino acid metabolism,Cysteine and methionine metabolism,17
18,"Nucleotide and amino acid metabolism - Serine and threonine metabolism - M00018: Threonine biosynthesis, aspartate => homoserine => threonine",M00018,"M00018: Threonine biosynthesis, aspartate => homoserine => threonine",Nucleotide and amino acid metabolism,Serine and threonine metabolism,18
